********************************************************************
*                                                                  *
* Surface Mount Top Report                                         *
*                                                                  *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\23-325-0\23-325-0.MAX  *
* Mon Jul 29 15:28:08 2024                                         *
*                                                                  *
********************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X INSERT   Y INSERT   ROTATION
------------------------------------------------------------------------------------------------------------
513                                          02.RIF-MONT-SMD                 13.34 mm   121.29 mm 0       
514                                          02.RIF-MONT-SMD                 78.74 mm   123.19 mm 0       
515                                          02.RIF-MONT-SMD                 1.27 mm    6.35 mm   0       
BZ1        KTG0905CL        BZ               KTG0905CL-KINGSTATE             32.39 mm   27.31 mm  270     
TVS13      PESD5V0C1ULS-QYL SMBJ_1           SOD882BD-1_2                    19.05 mm   118.11 mm 180     
TVS14      SMBJ30A          SMBJ_1           SMB-12                          2.54 mm    105.41 mm 180     
TVS15      SMBJ30A          SMBJ_1           SMB-12                          2.54 mm    92.71 mm  180     
TVS16      SMBJ30A          SMBJ_1           SMB-12                          2.54 mm    80.65 mm  180     
TVS17      SMBJ30A          SMBJ_1           SMB-12                          2.54 mm    99.06 mm  180     
TVS18      SMBJ30A          SMBJ_1           SMB-12                          2.54 mm    86.36 mm  180     
TVS19      SMBJ30A          SMBJ_1           SMB-12                          2.54 mm    74.93 mm  180     
TVS20      SMBJ30A          SMBJ_1           SMB-12                          29.21 mm   55.25 mm  90      
U1         HOT-SWAP         LM5060_1         DGS0010A-TEXAS                  73.39 mm   28.20 mm  0       
U2         TCMT1103         OPT_TCMT1103     SSOP4                           36.83 mm   109.86 mm 270     
U3         LM3404MR/NOPB    LM3404MR_1       DDA0008B-TEXAS                  53.34 mm   13.97 mm  0       
U4         TJA1050T         TJA1050          SO8                             64.77 mm   13.90 mm  180     
U5         TLC2274AQPWRQ1   TLC2274A_1       SOG.65M/14/WG6.6/L5.1           9.65 mm    57.74 mm  270     
U6         TLC2274AQPWRQ1   TLC2274A_1       SOG.65M/14/WG6.6/L5.1           9.65 mm    28.53 mm  270     
U7         TLC2274AQPWRQ1   TLC2274A_1       SOG.65M/14/WG6.6/L5.1           9.65 mm    43.14 mm  270     
U8         TCMT1103         TCMT1101         SSOP4                           36.83 mm   104.78 mm 270     
U9         TCMT1103         TCMT1101         SSOP4                           36.83 mm   93.35 mm  270     
U10        TCMT1103         TCMT1101         SSOP4                           36.83 mm   81.92 mm  270     
U11        TCMT1103         TCMT1101         SSOP4                           36.83 mm   99.06 mm  270     
U12        TCMT1103         TCMT1101         SSOP4                           36.83 mm   87.63 mm  270     
U13        TCMT1103         TCMT1101         SSOP4                           36.83 mm   76.84 mm  270     
U14        TCMT1103         TCMT1101         SSOP4                           36.83 mm   71.12 mm  270     
U15        CPC1017N         CPC1017          CPC1017N-CLARE                  57.15 mm   77.47 mm  270     
U16        CPC1017N         CPC1017          CPC1017N-CLARE                  46.36 mm   66.68 mm  270     
U17        DECODER          CD4555           SOG.050/16/WG.244/L.394         64.77 mm   60.20 mm  0       
U18        L6205PD          L6205_0          POWERSO20+FORI                  75.57 mm   107.32 mm 270     
U19        L6205PD          L6205_0          POWERSO20+FORI                  75.57 mm   81.92 mm  270     
U20        LM317S P+        LM317S_P+        TO-263-3PIN                     76.07 mm   45.09 mm  270     
U22        CD4051BM96       CD4051           SO16                            61.60 mm   40.57 mm  180     
U23        MC7805CD2TG      MC7805CD2TG      D2PAK-REG                       17.15 mm   1.91 mm   90      
U24        LM1117MPX-3.3    LM1117MPX-5_0.0  SOT223-1234                     36.20 mm   18.42 mm  270     
U25        MC7805CD2TG      MC7805CD2TG      D2PAK-REG                       17.15 mm   17.15 mm  90      
U26        SAME51J20A-A     SAME51J20A-A_F.. QUAD.50M/64/WG12.00             39.31 mm   41.93 mm  0       
